DATE,TRANSFER_ORDER,TO_LINE,TO_TIME,DELIVERY_NO,TIME_PICK_COMPLETED,INVOICE_NUMBER,SKU,QTY,CUSTOMER,ADDRESS,STORAGE_BIN,,,,,,,,,,,
2-Jul,439952,4,9:08 AM,6414149048,9:25 AM,11354,AXB7ND33,200,20004055,HCM,A02-01-05,,,,,,,,,,,
2-Jul,439952,5,9:08 AM,6414149048,9:25 AM,11354,AXB7NW33M1,30,20004055,HCM,A09-04-01,,,,,,,,,,,
2-Jul,439952,6,9:08 AM,6414149048,9:25 AM,11354,AXB7ND21,10,20004055,HCM,B01-03-06,,,,,,,,,,,
2-Jul,439952,7,9:08 AM,6414149048,9:25 AM,11354,ARXM4AB2BD,20,20004055,HCM,D03-04-02,,,,,,,,,,,
2-Jul,439952,8,9:08 AM,6414149048,9:25 AM,11354,ARXZE2M114,30,20004055,HCM,D04-03-03,,,,,,,,,,,
2-Jul,439952,9,9:08 AM,6414149048,9:25 AM,11354,ARXZE1M4C,100,20004055,HCM,D08-03-04,,,,,,,,,,,
2-Jul,439952,10,9:08 AM,6414149048,9:25 AM,11354,AXB7NW34M2,30,20004055,HCM,D08-04-01,,,,,,,,,,,
2-Jul,439952,11,9:08 AM,6414149048,9:25 AM,11354,AXB7NW33B1,20,20004055,HCM,H07-04-03,,,,,,,,,,,
2-Jul,439953,12,9:08 AM,6414149048,9:25 AM,11354,AXB5KS2M4,5,20004055,HCM,E06-01-02,,,,,,,,,,,
2-Jul,439954,1,9:08 AM,6414149049,9:25 AM,11355,AXB7NW33M1,20,20004055,HCM,A09-04-01,,,,,,,,,,,
2-Jul,439954,2,9:08 AM,6414149049,9:25 AM,11355,AXB7NS8445,10,20004055,HCM,B10-04-01,,,,,,,,,,,
2-Jul,439954,3,9:08 AM,6414149049,9:25 AM,11355,AXB7EV06MP,50,20004055,HCM,C02-04-04,,,,,,,,,,,
2-Jul,439954,4,9:08 AM,6414149049,9:25 AM,11355,AXB7NW34M2,20,20004055,HCM,D08-04-01,,,,,,,,,,,
2-Jul,439954,5,9:08 AM,6414149049,9:25 AM,11355,AXB7NW33B1,25,20004055,HCM,H07-04-03,,,,,,,,,,,
2-Jul,439955,1,9:11 AM,6414149053,9:25 AM,11358,AE15_15R_WE,46,20004055,HCM,E03-02-04,,,,,,,,,,,
